CpuName,CpuNumberOfCores,CpuNumberOfThreads,CpuBaseClock,CpuCacheL1,CpuCacheL2,CpuCacheL3,CpuDieSize,CpuFrequency,CpuMultiplier,CpuMultiplierUnlocked,CpuProcessSize,CpuTDP,CpuNumberOfTransistors,CpuTurboClock
Intel Core i9-9900K,8,16,100,512,2048,16,?,3600,36,1,14,95,?,5000
Intel Core i7-9700K,8,8,100,512,2048,12,?,3600,36,1,14,95,?,4900
Intel Core i7-8700K,6,12,100,384,1536,12,?,3700,37,1,14,95,?,4700
Intel Core i7-7700K,4,8,100,256,1024,8,?,4200,42,1,14,91,?,4500
Intel Core i5-9400F,6,6,100,384,1536,9,?,2900,29,0,14,65,?,4100
Intel Core i5-8600K,6,6,100,384,1536,9,?,3600,36,1,14,95,?,4300
Intel Core i5-8400,6,6,100,384,1536,9,?,2800,28,0,14,65,?,4000
Intel Core i5-7600K,4,4,100,256,1024,6,?,3800,38,1,14,91,?,4200
Intel Core i5-7500,4,4,100,256,1024,6,?,3400,34,0,14,65,?,3800
Intel Core i3-7100,2,4,100,128,512,3,?,3900,39,0,14,51,?,3900
AMD Ryzen 9 3900X,12,24,100,1152,6144,64,7.40E-05,3800,38,1,7,105,3800,4600
AMD Ryzen 7 3800X,8,16,100,768,4096,32,7.40E-05,3900,39,1,7,105,3800,4500
AMD Ryzen 7 3700X,8,16,100,768,4096,32,7.40E-05,3600,36,1,7,65,3800,4400
AMD Ryzen 5 3600X,6,12,100,576,3072,32,7.40E-05,3800,38,1,7,95,3800,4400
AMD Ryzen 5 3600,6,12,100,576,3072,32,7.40E-05,3600,36,1,7,65,3800,4200
AMD Ryzen 5 2600X,6,12,100,576,3072,16,0.000192,3600,36,1,12,95,4800,4250
AMD Ryzen 5 1600X,6,12,100,576,3072,16,0.000192,3600,36,1,14,95,4800,4000
AMD Ryzen 5 2600,6,12,100,576,3072,16,0.000192,3400,34,1,12,65,4800,3900
AMD Ryzen 7 1700X,8,16,100,768,4096,16,0.000192,3400,34,1,14,95,4800,3800
