GameName,GameResolution,GameSetting
callOfDutyWW2,1080,med
fortnite,1080,max
fortnite,1080,med
pathOfExile,1080,max
pathOfExile,1080,med
destiny2,1080,med
radicalHeights,1080,max
destiny2,1080,max
leagueOfLegends,1080,med
overwatch,1080,max
playerUnknownsBattlegrounds,1080,med
radicalHeights,1080,med
overwatch,1080,med
dota2,1080,med
counterStrikeGlobalOffensive,1080,med
seaOfThieves,1080,max
apexLegends,1080,med
frostpunk,1080,max
seaOfThieves,1080,med
totalWar3Kingdoms,1080,med
worldOfTanks,1080,max
battlefield4,1080,max
warframe,1080,med
airMechStrike,1080,max
airMechStrike,1080,med
battletech,1080,med
worldOfTanks,1080,med
leagueOfLegends,1080,max
farCry5,1080,med
warframe,1080,max
starcraft2,1080,med
rainbowSixSiege,1080,med
starcraft2,1080,max
battletech,1080,max
apexLegends,1080,max
grandTheftAuto5,1080,med
aWayOut,1080,max
dota2,1080,max
farCry5,1080,max
aWayOut,1080,med
counterStrikeGlobalOffensive,1080,max
playerUnknownsBattlegrounds,1080,max
grandTheftAuto5,1080,max
totalWar3Kingdoms,1080,max
frostpunk,1080,med
battlefield4,1080,med
callOfDutyWW2,1080,max
rainbowSixSiege,1080,max
