idCase,nameCase,priceCase,imgCase
1,NZXT H9 Elite Black,"8,790",https://notebookspec.com/storage/pc-case/1343-1.png
2,AERO COOL CS-1103 Black,892,https://notebookspec.com/storage/pc-case/case_874_20190715-141243_AeroCool_CS-1103.png
3,NZXT H5 Flow White,"3,250",https://notebookspec.com/storage/pc-case/1324-1.png
4,COOLER MASTER Master Haf 500 Black,"3,010",https://notebookspec.com/storage/pc-case/case_1257_20220302-144245_1.png
5,CUBIC Hornets Black,570,https://notebookspec.com/storage/pc-case/case_957_20200918-153120_1.png
6,NZXT H1,"13,215",https://notebookspec.com/storage/pc-case/case_1156_20210304-124900_1.png
7,Montech X2 Mesh White,"1,320",https://notebookspec.com/storage/pc-case/case_1100_20210126-133706_1.png
8,MSI MAG Vampiric 100R,"1,290",https://notebookspec.com/storage/pc-case/case_1149_20210210-122135_1.png
9,NZXT H5 Elite Black,"5,150",https://notebookspec.com/storage/pc-case/1323-1.png
10,NZXT H5 Elite White,"5,150",https://notebookspec.com/storage/pc-case/1322-1.png
