idPower,namePower,pricePower,imgPower
1,CORSAIR RM850E,"4,090",https://notebookspec.com/storage/pc-psu/724-1.png
2,AEROCOOL Superb 600W,890,https://notebookspec.com/storage/pc-psu/psu_617_20210201-104023_1.png
3,OKER PS-680G2 500W,740,https://notebookspec.com/storage/pc-psu/708-1.png
4,AEROCOOL Lux RGB 750W,"1,745",https://notebookspec.com/storage/pc-psu/psu_609_20210122-162713_1.png
5,SILVERSTONE ST70F-ES230 700W 80+,"1,650",https://notebookspec.com/storage/pc-psu/psu_480_20180907-171020_small.png
6,AEROCOOL United 600W,"1,360",https://notebookspec.com/storage/pc-psu/psu_597_20210119-181236_1.png
7,DTECH PW071A 750W,"1,715",https://notebookspec.com/storage/pc-psu/psu_578_20201214-111726_1.png
8,MSI MAG A650BN,"1,940",https://notebookspec.com/storage/pc-psu/713-1.png
9,THERMALTAKE Toughpower GF3 850W,"5,215",https://notebookspec.com/storage/pc-psu/721-1.png
10,THERMALTAKE Toughpower GF3 850W,"5,215",https://notebookspec.com/storage/pc-psu/721-1.png
