idRam,nameRam,priceRam,imgRam
1,CORSAIR DOMINATOR PLATINUM RGB DDR5 32GB (16GBx2) 6200 White,"7,520",https://notebookspec.com/storage/pc-ram/1352-ram_1301_20220218-144155_1.png
2,TEAMGROUP T-Force Delta RGB DDR5 64GB (32GBx2) 6000 Black,"8,490",https://notebookspec.com/storage/pc-ram/1386-ram_1281_20220209-142719_1.png
3,CORSAIR Vengeance LPX DDR4 8GB (8GBx1) 2666 Red,"1,330",https://notebookspec.com/storage/pc-ram/ram_755_20180917-143750_small.png
4,KINGSTON FURY Beast RGB DDR5 16GB (8GBx2) 5200 Black,"2,990",https://notebookspec.com/storage/pc-ram/1373-1.png
5,Apacer DDR5 16GB (16GBx1) 4800,"1,580",https://notebookspec.com/storage/pc-ram/1381-1.png
6,Apacer NOX RGB DDR4 32GB (16GBx2) 3200 Black,"2,677",https://notebookspec.com/storage/pc-ram/1387-ram_1128_20210407-103128_1.png
7,TEAMGROUP T-Force Delta RGB DDR5 32GB (16GBx2) 5600 Black,"4,640",https://notebookspec.com/storage/pc-ram/1385-ram_1306_20220304-172506_1.png
8,TeamGroup T-Force Vulcan Z DDR4 16GB (16GBx1) 3200 Red,"1,382",https://notebookspec.com/storage/pc-ram/1390-1.png
9,BLACKBERRY DDR4 8GB (8GBx1) 3200,615,https://notebookspec.com/storage/pc-ram/ram_1026_20201030-102840_1.png
10,G.SKILL Trident Z5 RGB DDR5 64GB (32GBx2) 6000 Black,"9,460",https://notebookspec.com/storage/pc-ram/1364-ram_1271_20220208-155449_1.png
